NWE_02x02
----------------------------------------------------------------------------------------------------------------
Global distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
       i       j     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec  
     186       1       4       4       4       4       4       5       2       3       3       4       4       4
     187       1       4       4       4       4       4       5       2       3       3       4       4       4
     188       1       5       5       5       1       1       1       1       1       1       1       2       3
     189       1       5       5       5       1       1       1       1       1       1       1       2       3
     190       1       5       5       5       1       1       1       1       1       1       1       2       3
       1       2       5       5       5       1       1       1       1       1       1       1       2       3
       2       2       5       5       5       1       1       1       1       1       1       1       2       3
       3       2       5       5       5       1       1       1       1       1       1       1       2       3
       4       2       5       5       5       1       1       1       1       1       1       1       2       3
       5       2       5       5       5       1       1       1       1       1       1       1       2       3
       6       2       5       5       5       1       1       1       1       1       1       1       2       3
       7       2       5       5       5       5       1       1       1       1       1       1       2       3
       8       2       5       5       5       5       1       1       1       1       1       1       2       3
       9       2       5       5       5       5       1       1       1       1       1       1       2       3
      10       2       5       5       5       5       1       1       1       1       1       1       2       3
      11       2       5       5       5       5       1       1       1       1       1       1       2       3
      12       2       5       5       5       5       1       1       1       1       1       1       2       3
      13       2       5       5       5       5       1       1       1       1       1       1       2       3
      14       2       5       5       5       5       1       1       1       1       1       1       2       3
      15       2       5       5       5       5       1       1       1       1       1       1       2       3
      16       2       4       5       5       5       1       1       1       1       1       1       2       3
      17       2       4       5       5       5       1       1       1       1       1       1       2       3
      18       2       4       5       5       5       1       1       1       1       1       1       2       3
      19       2       4       5       5       5       1       1       1       1       1       1       2       3
      20       2       4       5       5       5       1       1       1       1       1       1       2       3
      21       2       4       5       5       5       1       1       1       1       1       1       2       3
      22       2       4       5       5       5       1       1       1       1       1       1       2       3
      23       2       4       5       5       5       1       1       1       1       1       1       2       3
      24       2       4       5       5       5       1       1       1       1       1       1       2       3
      25       2       4       4       5       5       1       1       1       1       1       1       2       3
      26       2       4       4       5       5       1       1       1       1       1       1       2       3
      27       2       4       4       5       5       1       1       1       1       1       1       2       3
      28       2       4       4       5       5       1       1       1       1       1       1       3       3
      29       2       4       4       5       5       1       1       1       1       1       1       3       3
      30       2       4       4       5       5       1       1       1       1       1       2       3       3
      31       2       4       4       5       5       1       1       1       1       1       2       3       3
      32       2       4       4       5       5       1       1       1       1       1       2       3       3
      33       2       4       4       5       5       1       1       1       1       1       2       3       3
      34       2       4       4       5       5       1       1       1       1       1       2       3       3
      35       2       4       4       5       5       1       1       1       1       1       2       3       3
      36       2       4       4       5       5       1       1       1       1       1       2       3       3
      37       2       4       4       5       5       1       1       1       1       1       2       3       3
